time_ms,pc_time,gyroX,gyroY,gyroZ,accX,accY,accZ
594243,18:16:25.843,4.340,-4.270,1.400,-0.260,0.956,0.141
594297,18:16:25.977,1.540,-3.990,0.210,-0.257,0.957,0.141
594310,18:16:25.978,0.700,-3.360,0.630,-0.258,0.957,0.140
594324,18:16:25.988,2.030,-3.290,1.540,-0.260,0.960,0.141
594338,18:16:25.989,-0.350,-3.850,0.910,-0.261,0.957,0.141
594351,18:16:25.990,1.680,-3.570,-0.140,-0.261,0.957,0.141
594365,18:16:26.000,0.700,-2.590,0.770,-0.260,0.960,0.143
594379,18:16:26.001,3.290,-1.890,-0.770,-0.259,0.956,0.142
594392,18:16:26.002,3.430,-3.220,0.980,-0.260,0.957,0.141
594406,18:16:26.017,3.010,-4.690,-0.840,-0.258,0.956,0.141
594420,18:16:26.017,1.120,-2.940,0.560,-0.257,0.960,0.140
594473,18:16:26.155,-0.630,-1.820,1.050,-0.259,0.958,0.141
594487,18:16:26.157,2.800,-2.730,-0.980,-0.258,0.960,0.142
594501,18:16:26.165,2.870,-1.540,-1.120,-0.259,0.959,0.142
594514,18:16:26.167,3.500,-3.780,1.260,-0.260,0.956,0.141
594528,18:16:26.169,-1.050,-1.820,0.560,-0.261,0.959,0.142
594542,18:16:26.177,0.280,-1.330,0.630,-0.259,0.957,0.141
594555,18:16:26.178,0.280,-1.190,0.560,-0.260,0.958,0.140
594569,18:16:26.179,-1.050,0.980,0.910,-0.258,0.957,0.143
594583,18:16:26.194,2.730,-3.640,-0.210,-0.260,0.958,0.141
594596,18:16:26.195,0.280,-3.010,0.980,-0.258,0.956,0.142
594650,18:16:26.332,4.200,-0.490,0.560,-0.258,0.956,0.142
594664,18:16:26.334,-0.700,-1.750,0.490,-0.259,0.958,0.142
594677,18:16:26.342,2.870,-3.430,-0.840,-0.260,0.958,0.141
594691,18:16:26.344,2.800,-1.960,-1.050,-0.259,0.956,0.142
594705,18:16:26.345,1.190,-0.560,0.630,-0.260,0.958,0.140
594718,18:16:26.354,-0.490,-1.960,-0.210,-0.258,0.959,0.143
594732,18:16:26.355,0.140,-2.240,0.840,-0.259,0.958,0.141
594746,18:16:26.357,0.140,-3.640,1.260,-0.261,0.957,0.141
594759,18:16:26.371,3.500,-0.070,-0.070,-0.260,0.956,0.142
594773,18:16:26.373,-1.750,-1.820,-0.560,-0.258,0.959,0.140
594828,18:16:26.510,1.610,-2.590,0.840,-0.260,0.958,0.142
594841,18:16:26.512,1.190,-2.590,0.210,-0.259,0.959,0.141
594855,18:16:26.520,1.470,-2.660,-0.140,-0.259,0.957,0.143
594869,18:16:26.521,-1.610,-3.150,1.400,-0.260,0.959,0.141
594882,18:16:26.523,2.870,-3.290,-0.770,-0.259,0.959,0.143
594896,18:16:26.531,2.100,-2.310,-0.630,-0.260,0.959,0.142
594910,18:16:26.533,-0.140,-3.640,1.330,-0.259,0.959,0.143
594923,18:16:26.535,-1.820,-2.380,0.070,-0.258,0.958,0.139
594937,18:16:26.549,3.500,-3.570,-0.840,-0.259,0.957,0.143
594951,18:16:26.551,-1.260,-2.730,2.450,-0.261,0.958,0.141
595006,18:16:26.688,2.310,-3.500,-0.490,-0.261,0.959,0.142
595019,18:16:26.690,1.190,-3.570,0.350,-0.258,0.958,0.140
595033,18:16:26.697,3.500,-5.810,-0.980,-0.259,0.959,0.142
595047,18:16:26.698,-0.280,-2.380,1.050,-0.259,0.958,0.141
595060,18:16:26.699,1.540,-2.240,-0.210,-0.261,0.959,0.143
595074,18:16:26.708,0.700,-0.140,0.140,-0.262,0.957,0.140
595088,18:16:26.709,0.560,0.070,1.050,-0.259,0.958,0.142
595101,18:16:26.710,-1.540,-1.190,-15.960,-0.262,0.957,0.140
595115,18:16:26.726,3.010,-4.550,-0.910,-0.258,0.959,0.142
595129,18:16:26.727,-0.070,-3.500,1.260,-0.258,0.957,0.142
595183,18:16:26.864,17.500,-1.190,0.560,-0.262,0.957,0.140
